home_team_skaters,away_team_skaters,period_1,period_2,period_3,game_time,x_ft,y_ft,y_abs,dist_ft,angle_deg,arclength,shooter_quality,shooter_career_quality,goalie_save_pct,goalie_career_save_pct,home_score,away_score,goal_diff,losing,tied,winning,skater_diff,es,pp,sh,rebound,backhand,other,slap,snap,tip,wrist,slot,close_game,late_game,is_forward,pwhl,is_goal
5,5,1,0,0,30.266666,75.14228057861328,15.844118118286133,15.844118118286133,21.0,48.8,17.88613417443789,0.08125599232981782,0.06133462600706917,0.9187440076701822,0.9263858969767549,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
5,5,1,0,0,57.9,81.27243041992188,-0.2529411315917969,0.2529411315917969,7.7,1.9,0.2553416695667704,0.08125599232981782,0.07157548015958927,0.9187440076701822,0.9111448953730834,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
5,5,1,0,0,134.86667,85.29595947265625,-36.46470642089844,36.46470642089844,36.7,84.2,53.93311734757758,0.08125599232981782,0.11108990523477912,0.9203372624217472,0.9111448953730834,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
5,5,1,0,0,298.13333,67.59815979003906,0.2529411315917969,0.2529411315917969,21.4,0.7,0.2614503219487505,0.08125599232981782,0.0990412272291467,0.9203372624217472,0.9263858969767549,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
5,5,1,0,0,301.5,43.45872497558594,-32.444129943847656,32.444129943847656,55.9,35.5,34.63518634120147,0.08125599232981782,0.08561291546820071,0.9218692381444059,0.9263858969767549,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5,5,1,0,0,405.43332,73.63519287109375,-18.86471939086914,18.86471939086914,24.3,50.8,21.545042418318804,0.08125599232981782,0.1010244817667868,0.923343403462436,0.9263858969767549,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
5,5,1,0,0,466.03333,74.13813781738281,-16.350013732910156,16.350013732910156,22.1,47.7,18.398737375748624,0.08125599232981782,0.10693088357106985,0.9247629700649834,0.9263858969767549,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
5,5,1,0,0,491.36667,86.80303955078125,2.267662048339844,2.267662048339844,3.2,45.9,2.563539605329271,0.08125599232981782,0.08186895773410036,0.9218692381444059,0.9111448953730834,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
5,5,1,0,0,520.6,49.58538818359375,-22.879398345947266,22.879398345947266,45.6,30.1,23.95569118117337,0.08125599232981782,0.06031017140165851,0.923343403462436,0.9111448953730834,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5,5,1,0,0,531.43335,53.608917236328125,1.7647209167480469,1.7647209167480469,35.4,2.9,1.7917550100973787,0.08125599232981782,0.08125599232981782,0.9247629700649834,0.9111448953730834,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
