game_id,player_name,player_team,goalie_name,goalie_team,home_team_skaters,away_team_skaters,period_1,period_2,period_3,game_time,x_ft,y_ft,y_abs,dist_ft,angle_deg,arclength,shooter_quality,shooter_career_quality,goalie_save_pct,goalie_career_save_pct,home_score,away_score,goal_diff,losing,tied,winning,skater_diff,es,pp,sh,rebound,backhand,other,slap,snap,tip,wrist,slot,close_game,late_game,is_forward,pwhl,is_goal,xg
1,Hayley Scamurra,Harvey's,Ann-Renée Desbiens,Adidas,5,5,1,0,0,30.266666,75.14228057861328,15.844118118286133,15.844118118286133,21.0,48.8,17.88613417443789,0.0812559923298178,0.0613346260070691,0.9187440076701822,0.9263858969767548,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.016541064
1,Sarah Potomak,Adidas,Maddie Rooney,Harvey's,5,5,1,0,0,57.9,81.27243041992188,-0.2529411315917969,0.2529411315917969,7.7,1.9,0.2553416695667704,0.0812559923298178,0.0715754801595892,0.9187440076701822,0.9111448953730834,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0.1684514
1,Kendall Coyne Schofield,Adidas,Maddie Rooney,Harvey's,5,5,1,0,0,134.86667,85.29595947265625,-36.46470642089844,36.46470642089844,36.7,84.2,53.93311734757758,0.0812559923298178,0.1110899052347791,0.9203372624217472,0.9111448953730834,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.008543915
1,Laura Fortino,Harvey's,Ann-Renée Desbiens,Adidas,5,5,1,0,0,298.13333,67.59815979003906,0.2529411315917969,0.2529411315917969,21.4,0.7,0.2614503219487505,0.0812559923298178,0.0990412272291467,0.9203372624217472,0.9263858969767548,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.16514978
1,Lee Stecklein,Harvey's,Ann-Renée Desbiens,Adidas,5,5,1,0,0,301.5,43.45872497558594,-32.444129943847656,32.444129943847656,55.9,35.5,34.63518634120147,0.0812559923298178,0.0856129154682007,0.921869238144406,0.9263858969767548,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.013605565
1,Jamie Lee Rattray,Harvey's,Ann-Renée Desbiens,Adidas,5,5,1,0,0,405.43332,73.63519287109375,-18.86471939086914,18.86471939086914,24.3,50.8,21.545042418318804,0.0812559923298178,0.1010244817667868,0.923343403462436,0.9263858969767548,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.039291497
1,Jessie Eldridge,Harvey's,Ann-Renée Desbiens,Adidas,5,5,1,0,0,466.03333,74.13813781738281,-16.350013732910156,16.350013732910156,22.1,47.7,18.398737375748624,0.0812559923298178,0.1069308835710698,0.9247629700649834,0.9263858969767548,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.03941684
1,Jincy Dunne,Adidas,Maddie Rooney,Harvey's,5,5,1,0,0,520.6,49.58538818359375,-22.879398345947266,22.879398345947266,45.6,30.1,23.95569118117337,0.0812559923298178,0.0603101714016585,0.923343403462436,0.9111448953730834,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.01537224
1,Megan Eady,Adidas,Maddie Rooney,Harvey's,5,5,1,0,0,531.43335,53.608917236328125,1.7647209167480469,1.7647209167480469,35.4,2.9,1.7917550100973787,0.0812559923298178,0.0812559923298178,0.9247629700649834,0.9111448953730834,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.10538801
1,Rhianna Kurio,Harvey's,Ann-Renée Desbiens,Adidas,5,5,1,0,0,606.13336,57.017189025878906,-13.32904052734375,13.32904052734375,34.6,22.6,13.64777661889486,0.0812559923298178,0.0580399945212984,0.926130916063802,0.9263858969767548,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0.021552093
